name,status
Finn,active
Grom,active
Jaina,active
Recruit #1,active
Recruit #10,active
Recruit #11,active
Recruit #12,active
Recruit #13,benched
Recruit #15,active
Recruit #16,active
Recruit #17,active
Recruit #18,benched
Recruit #2,active
Recruit #20,active
Recruit #21,active
Recruit #22,active
Recruit #23,benched
Recruit #25,active
Recruit #26,active
Recruit #27,active
Recruit #28,benched
Recruit #3,benched
Recruit #30,active
Recruit #31,active
Recruit #32,active
Recruit #33,benched
Recruit #35,active
Recruit #36,active
Recruit #37,active
Recruit #38,benched
Recruit #40,active
Recruit #5,active
Recruit #6,active
Recruit #7,active
Recruit #8,benched
Seris,active
Thane,benched
Uther,benched
Vex,active
