name,status
Finn,active
Grom,active
Jaina,active
Recruit #1,active
Recruit #10,active
Recruit #11,active
Recruit #12,active
Recruit #15,active
Recruit #16,active
Recruit #17,active
Recruit #2,active
Recruit #20,active
Recruit #21,active
Recruit #22,active
Recruit #25,active
Recruit #26,active
Recruit #27,active
Recruit #30,active
Recruit #31,active
Recruit #32,active
Recruit #35,active
Recruit #36,active
Recruit #37,active
Recruit #40,active
Recruit #5,active
Recruit #6,active
Recruit #7,active
Seris,active
Vex,active
Recruit #13,benched
Recruit #18,benched
Recruit #23,benched
Recruit #28,benched
Recruit #3,benched
Recruit #33,benched
Recruit #38,benched
Recruit #8,benched
Thane,benched
Uther,benched
Old Marrow,retired
Recruit #14,retired
Recruit #19,retired
Recruit #24,retired
Recruit #29,retired
Recruit #34,retired
Recruit #39,retired
Recruit #4,retired
Recruit #9,retired
Sly,retired
